# time(us)	raw_signal(mV)	one_component(mV)	two_component(mV)	sum_components(mV)
-2.100081805873924345e+00 -8.555309436804446888e-01 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-2.098081805930488208e+00 -7.475309398603923183e-01 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-2.096081805987052071e+00 -5.675309334936383676e-01 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-2.094081806043615934e+00 -5.315309322202875775e-01 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-2.092081806100179797e+00 -5.675309334936383676e-01 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-2.090081806156743660e+00 -5.315309322202875775e-01 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-2.088081806213307523e+00 -3.155309245801828921e-01 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-2.086081806269871386e+00 -4.235309284002352626e-01 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-2.084081806326435249e+00 -7.835309411337431085e-01 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-2.082081806382999112e+00 -6.395309360403399479e-01 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-2.080081806439562975e+00 -8.915309449537954789e-01 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-2.078081806496126838e+00 -1.107530952593900331e+00 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-2.076081806552690701e+00 -1.467530965327408232e+00 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-2.074081806609254564e+00 -1.467530965327408232e+00 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-2.072081806665818426e+00 -1.539530967874109812e+00 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-2.070081806722382289e+00 -1.359530961507355862e+00 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-2.068081806778946152e+00 -1.107530952593900331e+00 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-2.066081806835510015e+00 -1.287530958960654281e+00 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-2.064081806892073878e+00 -1.107530952593900331e+00 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-2.062081806948637741e+00 -1.251530957687303491e+00 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-2.060081807005201604e+00 -1.143530953867251121e+00 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-2.058081807061765467e+00 -9.275309462271462690e-01 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-2.056081807118329330e+00 -5.315309322202875775e-01 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-2.054081807174893193e+00 8.469086879974233040e-03 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-2.052081807231457056e+00 3.684690996134821206e-01 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
